id,introDone,introDoneLastChangedAt,gameID,gameIDLastChangedAt,treatment,treatmentLastChangedAt,emojiArray,emojiArrayLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,name,nameLastChangedAt,participantID,participantIDLastChangedAt,treatmentName,treatmentNameLastChangedAt,exitSurvey,exitSurveyLastChangedAt,exitStep,exitStepLastChangedAt,urlParams,urlParamsLastChangedAt,intro,introLastChangedAt,ended,endedLastChangedAt,recipient,recipientLastChangedAt
01HVSVZKDKJ31S4JPBDWWVZR3X,true,2024-04-19T00:30:30.37966684Z,01HVSV8QWGA4B7WEY814H1HGK2,2024-04-19T00:28:56.986052831Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:28:56.986052831Z,"[""🐿️"",""🐇"",""🐇"",""🐿️"",""🐇"",""                                   ""]",2024-04-19T00:31:10.767682374Z,660f21d38d8e464d9bb12426,2024-04-19T00:26:57.332016134Z,player 3,2024-04-19T00:31:10.767682374Z,01HVSVZK0SZT0MH8BRQ5R8CKRR,2024-04-19T00:26:57.332016134Z,rerun-interactive- 0.7,2024-04-19T00:28:56.986052831Z,"{""age"":""53"",""gender"":""Female"",""strength"":""It got better as the game went on; the more information, the more sure I was of the ratio"",""fair"":""yes"",""feedback"":""Interesting game"",""education"":""bachelor"",""teammates"":""I trusted that they were"",""notes"":""mentally yes"",""politics"":""democrat"",""geo"":""canadian"",""ethnicity"":""white""}",2024-04-19T00:44:27.976143967Z,1,2024-04-19T00:44:27.983251887Z,{},2024-04-19T00:26:57.544640067Z,4,2024-04-19T00:30:14.96148597Z,game ended,2024-04-19T00:42:07.402493542Z,01HVSW3AMEA38DZ107C39YFSWP,2024-04-19T00:41:11.825547685Z
01HVSW11KHWTJNDAN1VYJNNNCS,true,2024-04-19T00:31:58.822026088Z,01HVSV8QWHJP2RQK7VZT3JH0WX,2024-04-19T00:28:56.986052831Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:28:56.986052831Z,"[""🐇"",""🐿️"",""🐇"",""                                   "",""🐇"",""🐿️"",""🐇"",""🐇"",""🐇""]",2024-04-19T00:36:19.543367749Z,5ede9b80b8a141131edabbe1,2024-04-19T00:27:44.625141702Z,player 1,2024-04-19T00:36:19.543367749Z,01HVSW118CW5ASN9WNGCW069ED,2024-04-19T00:27:44.625141702Z,rerun-interactive- 0.7,2024-04-19T00:28:56.986052831Z,"{""age"":""29"",""gender"":""female"",""strength"":""The game looks too easy to comprehend."",""fair"":""The pay is fair."",""feedback"":""No problems encountered."",""education"":""bachelor"",""teammates"":""The teammates might've seen different results apart from my observations."",""notes"":""Some of the notes appear to be repeated with the same answers."",""politics"":""independent"",""geo"":""American"",""ethnicity"":""white""}",2024-04-19T00:46:15.533480432Z,1,2024-04-19T00:46:15.559942509Z,{},2024-04-19T00:27:44.825655106Z,4,2024-04-19T00:31:53.895494267Z,game ended,2024-04-19T00:44:42.75196247Z,01HVSW64TSWM9W163CE5ZJV532,2024-04-19T00:44:04.291832811Z
01HVSW3AMEA38DZ107C39YFSWP,true,2024-04-19T00:31:10.690840836Z,01HVSV8QWGA4B7WEY814H1HGK2,2024-04-19T00:28:59.411431415Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:28:59.411431415Z,"[""                                   "",""🐇"",""🐇""]",2024-04-19T00:31:10.767682374Z,600ce60e21d8ec241417d3a4,2024-04-19T00:28:59.406478132Z,player 4,2024-04-19T00:31:10.767682374Z,01HVSW3AD93H0XCRNWM6ZACKRN,2024-04-19T00:28:59.406478132Z,rerun-interactive- 0.7,2024-04-19T00:28:59.411431415Z,"{""age"":""29"",""gender"":""Female"",""strength"":""Fairly positive"",""fair"":""I think so"",""feedback"":""n/a - just wish the time limits were shorter"",""education"":""bachelor"",""teammates"":""They were responsive and I hope they were telling the truth"",""notes"":""Yes"",""politics"":""Slight liberal"",""geo"":""Canadian"",""ethnicity"":""Asian""}",2024-04-19T00:43:36.762785141Z,1,2024-04-19T00:43:36.784888541Z,{},2024-04-19T00:28:59.537114719Z,4,2024-04-19T00:31:05.87257799Z,game ended,2024-04-19T00:42:07.402493542Z,01HVSVWR2VTC85XEMJ6VTX3SBT,2024-04-19T00:41:11.825547685Z
01HVSW4ZQ508VXJ4RVGAQGKDWT,,,01HVSTV2E7DBC6E638QGYRXGYV,2024-04-19T00:29:53.773196486Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:29:53.773196486Z,,,S,2024-04-19T00:29:53.765644374Z,,,01HVSW4ZDZH15PASGD856Y939K,2024-04-19T00:29:53.765644374Z,rerun-interactive- 0.7,2024-04-19T00:29:53.773196486Z,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":""I started reading the instructions and the page suddenly switched to this one."",""education"":"""",""teammates"":"""",""notes"":"""",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-19T00:31:02.740835976Z,1,2024-04-19T00:31:02.74970944Z,{},2024-04-19T00:29:53.918865463Z,1,2024-04-19T00:30:07.251277248Z,game terminated,2024-04-19T00:30:28.446275159Z,,
01HVSW5DNXP4W61NJGFYTFQ8PS,,,01HVSTV2E7DBC6E638QGYRXGYV,2024-04-19T00:30:08.0678018Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:30:08.0678018Z,,,5ad0f1934d061300011b0a4d,2024-04-19T00:30:08.061751797Z,,,01HVSW5D9E7R3PJPHXETHHH2XK,2024-04-19T00:30:08.061751797Z,rerun-interactive- 0.7,2024-04-19T00:30:08.0678018Z,,,,,{},2024-04-19T00:30:08.263194734Z,,,game terminated,2024-04-19T00:30:28.446275159Z,,
01HVSW64TSWM9W163CE5ZJV532,true,2024-04-19T00:34:58.588940981Z,01HVSV8QWHJP2RQK7VZT3JH0WX,2024-04-19T00:30:31.774379742Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:30:31.774379742Z,"[""🐇"",""                                   "",""🐿️""]",2024-04-19T00:36:19.543367749Z,5d02e8a7c087120001942ae7,2024-04-19T00:30:31.769677389Z,player 2,2024-04-19T00:36:19.543367749Z,01HVSW63CHAZQRF48KGQ4ASKTE,2024-04-19T00:30:31.769677389Z,rerun-interactive- 0.7,2024-04-19T00:30:31.774379742Z,"{""age"":""39"",""gender"":""Male"",""strength"":""I feel I did fairly well."",""fair"":""Yes "",""feedback"":""Enjoyable study"",""education"":""other"",""teammates"":""Yes they were consistent"",""notes"":""No, I kept the statistics in my mind"",""politics"":""Center"",""geo"":""United Kingdom"",""ethnicity"":""British""}",2024-04-19T00:46:03.407443324Z,1,2024-04-19T00:46:03.403329573Z,{},2024-04-19T00:30:32.543071149Z,4,2024-04-19T00:34:28.471965153Z,game ended,2024-04-19T00:44:42.75196247Z,01HVSW72QHPTG90J5RBXFXCXNV,2024-04-19T00:44:04.291832811Z
01HVSW72QHPTG90J5RBXFXCXNV,true,2024-04-19T00:34:41.768482241Z,01HVSV8QWHJP2RQK7VZT3JH0WX,2024-04-19T00:31:10.701737179Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:31:10.701737179Z,"[""🐇"",""🐇"",""🐇"",""                                   ""]",2024-04-19T00:36:19.543367749Z,6605c3d5c6715fc3a38ca5c3,2024-04-19T00:31:02.385463319Z,player 3,2024-04-19T00:36:19.543367749Z,01HVSW72CE5F837RX2D8E6658K,2024-04-19T00:31:02.385463319Z,rerun-interactive- 0.7,2024-04-19T00:31:10.701737179Z,"{""age"":""20"",""gender"":""female"",""strength"":""10/10 i got this in the bag >:)"",""fair"":""yes"",""feedback"":""none"",""education"":""bachelor"",""teammates"":""i think that they are telling the truth (hopefully)"",""notes"":""yes"",""politics"":""neutral"",""geo"":""Canada"",""ethnicity"":""middle eastern""}",2024-04-19T00:45:49.511514206Z,1,2024-04-19T00:45:49.505590763Z,{},2024-04-19T00:31:02.562229104Z,4,2024-04-19T00:34:24.404226516Z,game ended,2024-04-19T00:44:42.75196247Z,01HVSWC9AZ9VDMC1KSEVCP2YYM,2024-04-19T00:44:04.291832811Z
01HVSW74CSRQWWQEG2MTCR86GK,,,01HVSW238S5MM4ZV8T4HME9HWM,2024-04-19T00:47:17.952617815Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:47:17.952617815Z,,,656c8a77fd66d9bd07b57e25,2024-04-19T00:31:04.089462199Z,,,01HVSW73R6R25F9YY696VJGBH8,2024-04-19T00:31:04.089462199Z,rerun-interactive- 0.7,2024-04-19T00:47:17.952617815Z,,,,,{},2024-04-19T00:31:04.411516418Z,1,2024-04-19T00:31:12.343323666Z,game terminated,2024-04-19T00:50:36.324509399Z,,
01HVSWBS5NSCJXS4V2B9C1S0Q8,true,2024-04-19T00:41:14.434163955Z,01HVSTV1N6WBW5MRZ4CQYC6701,2024-04-19T00:40:37.535821969Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:40:37.535821969Z,"[""                                   "",""🐇"",""🐇""]",2024-04-19T00:42:22.629782699Z,66072e5000e5f94d4ef3fe3b,2024-04-19T00:33:36.437580349Z,player 1,2024-04-19T00:42:22.629782699Z,01HVSWBRZ88J38Y7B641KGKS0H,2024-04-19T00:33:36.437580349Z,rerun-interactive- 0.7,2024-04-19T00:40:37.535821969Z,"{""age"":""54"",""gender"":""Female"",""strength"":"""",""fair"":""Yes."",""feedback"":"""",""education"":""high-school"",""teammates"":""Yes."",""notes"":""I didn't write it down, but I tried to keep track."",""politics"":"""",""geo"":"""",""ethnicity"":""White""}",2024-04-19T00:54:33.933840862Z,1,2024-04-19T00:54:33.929037046Z,{},2024-04-19T00:33:36.547771947Z,4,2024-04-19T00:40:45.324059106Z,game ended,2024-04-19T00:53:09.083628793Z,01HVSWKGDBWMCMXSSM9GV9APF6,2024-04-19T00:52:12.540757165Z
01HVSWC9AZ9VDMC1KSEVCP2YYM,true,2024-04-19T00:36:19.45964688Z,01HVSV8QWHJP2RQK7VZT3JH0WX,2024-04-19T00:33:52.997498774Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:33:52.997498774Z,"[""🐿️"",""🐇"",""🐇"",""🐇"",""🐇"",""🐿️"",""                                   "",""🐿️""]",2024-04-19T00:36:19.543367749Z,614eb8180654e2bc18536853,2024-04-19T00:33:52.991158891Z,player 4,2024-04-19T00:36:19.543367749Z,01HVSWC91PPM5MHQ6X0SA0H753,2024-04-19T00:33:52.991158891Z,rerun-interactive- 0.7,2024-04-19T00:33:52.997498774Z,"{""age"":""37"",""gender"":""male"",""strength"":""unknown?"",""fair"":""yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""yes"",""notes"":""no"",""politics"":""centre"",""geo"":""canada"",""ethnicity"":""white""}",2024-04-19T00:45:41.36509392Z,1,2024-04-19T00:45:41.361266801Z,{},2024-04-19T00:33:53.146011826Z,4,2024-04-19T00:36:12.934026978Z,game ended,2024-04-19T00:44:42.75196247Z,01HVSW11KHWTJNDAN1VYJNNNCS,2024-04-19T00:44:04.291832811Z
01HVSWCKBAT607WV4MXVMZ3K5S,true,2024-04-19T00:38:45.72874734Z,01HVSW64SS8Z7234QSQC65QRNW,2024-04-19T00:36:19.479607425Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:36:19.479607425Z,"[""🐿️"",""🐿️"",""                                   "",""🐇""]",2024-04-19T00:41:30.636630579Z,58635484a73baa00010db537,2024-04-19T00:34:03.242834036Z,player 1,2024-04-19T00:41:30.636630579Z,01HVSWCK3Z5BXK5SWKYEQ4135W,2024-04-19T00:34:03.242834036Z,rerun-interactive- 0.7,2024-04-19T00:36:19.479607425Z,"{""age"":""38"",""gender"":""female"",""strength"":""I suppose my strength would just be telling the teammates what I had so that we could \""win\"" together. Playing fair. Being honest."",""fair"":""I suppose it was fair enough. Waiting for the game to load took the longest, I suppose."",""feedback"":""Two players didn't even respond at all and another player just said \""okay\"". So, the only feedback or problems I really had was that two players never even \""connected to chat\"". No other issues, though."",""education"":""high-school"",""teammates"":""I don't know if they were telling the truth or not. I don't know why they wouldn't though, because we were supposed to get a bonus, if we all agreed. So, that would cause us to lose, if someone was lying.. unless they get a bonus.. if we don't all agree. "",""notes"":""I just kind of tried to remember what others said. Most of them said there were a lot of rabbits. Some didn't say anything at all, or even give any information. I didn't take notes, just \""mental notes\"", I guess."",""politics"":""Democrat"",""geo"":""American"",""ethnicity"":""White""}",2024-04-19T00:53:03.220105868Z,1,2024-04-19T00:53:03.225117686Z,{},2024-04-19T00:34:03.374007828Z,4,2024-04-19T00:38:28.966804581Z,game ended,2024-04-19T00:50:08.052295496Z,01HVSWDK4G6KVS359GPSATGH0Z,2024-04-19T00:49:17.840086107Z
01HVSWDK4G6KVS359GPSATGH0Z,true,2024-04-19T00:37:28.397050157Z,01HVSW64SS8Z7234QSQC65QRNW,2024-04-19T00:36:19.479607425Z,"{""condition"":""interactive"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-19T00:36:19.479607425Z,"[""                                   "",""🐿️"",""🐿️"",""🐇"",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐇"",""🐇""]",2024-04-19T00:41:30.636630579Z,60c9003363ca81b7d3b004a4,2024-04-19T00:34:35.792229124Z,player 2,2024-04-19T00:41:30.636630579Z,01HVSWDJR3DW17TBASVVV4Q1Q2,2024-04-19T00:34:35.792229124Z,rerun-interactive- 0.7,2024-04-19T00:36:19.479607425Z,"{""age"":""29"",""gender"":""F"",""strength"":""I dont know"",""fair"":""not really"",""feedback"":"""",""education"":""high-school"",""teammates"":""no idea"",""notes"":""no"",""politics"":""none"",""geo"":""Syria"",""ethnicity"":""Arab""}",2024-04-19T00:50:58.330527396Z,1,2024-04-19T00:50:58.323173987Z,{},2024-04-19T00:34:36.010688107Z,4,2024-04-19T00:37:22.414069883Z,game ended,2024-04-19T00:50:08.052295496Z,01HVSWHR2WNBA97YVECQXPZW7D,2024-04-19T00:49:17.840086107Z
