id,exitSurvey,exitSurveyLastChangedAt,treatment,treatmentLastChangedAt,participantID,participantIDLastChangedAt,exitStep,exitStepLastChangedAt,treatmentName,treatmentNameLastChangedAt,introDone,introDoneLastChangedAt,recipient,recipientLastChangedAt,urlParams,urlParamsLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,emojiArray,emojiArrayLastChangedAt,intro,introLastChangedAt,name,nameLastChangedAt
01HW6FYEVZNY3B6454F9S9KAMS,"{""age"":""34"",""gender"":""F"",""strength"":""Not much"",""fair"":""No"",""feedback"":""Nothing more could be said as the image did not change"",""education"":""bachelor"",""teammates"":""They were repetitive "",""notes"":""No"",""politics"":""Liberal"",""geo"":""United Kingdom"",""ethnicity"":""Black""}",2024-04-23T22:22:08.001881455Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:06:44.615746045Z,01HW6FYE85RQNPDD9773YYFP6Z,2024-04-23T22:06:44.607458086Z,1,2024-04-23T22:22:08.004640127Z,rerun-unidirectional- 0.3,2024-04-23T22:06:44.615746045Z,true,2024-04-23T22:10:21.136299791Z,01HW6FRNG4PFEDFAGNWMPV25TE,2024-04-23T22:20:09.073979692Z,{},2024-04-23T22:06:44.947333337Z,game ended,2024-04-23T22:20:54.641300281Z,01HW6F599TAAA39K9GMZ9E9HF8,2024-04-23T22:06:44.615746045Z,5fa5d1ec86ac6817fddaff05,2024-04-23T22:06:44.607458086Z,"[""                                   "",""🐇"",""🐿️"",""🐿️"",""🐿️"",""🐿️"",""🐇"",""🐿️""]",2024-04-23T22:10:21.212969169Z,4,2024-04-23T22:09:40.475666191Z,player 4,2024-04-23T22:10:21.212969169Z
01HW6FYH2Q5QXZ916T0845K3TF,,,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:53:58.6514895Z,01HW6FYGPWD0C4MVX88W9M22YX,2024-04-23T22:06:46.871946433Z,,,rerun-unidirectional- 0.3,2024-04-23T22:53:58.6514895Z,,,,,{},2024-04-23T22:06:47.069250086Z,game terminated,2024-04-23T22:54:17.277186618Z,01HW6JMNRC3XNSY5NXS1P1NYQ3,2024-04-23T22:53:58.6514895Z,65e4acb73e55e0a62770bdd4,2024-04-23T22:06:46.871946433Z,,,1,2024-04-23T22:06:48.086527568Z,,
01HW6G06CCDAE3MDH5ZZ21E6JH,"{""age"":""34"",""gender"":""Female"",""strength"":""I don't know if I had any, to be honest."",""fair"":""Yes"",""feedback"":"""",""education"":""other"",""teammates"":""Not sure if they were telling the truth but some did not message at all."",""notes"":""Yes"",""politics"":""Liberal"",""geo"":""Canadian"",""ethnicity"":""White""}",2024-04-23T22:29:41.755012117Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:10:21.155059028Z,01HW6G063VNXX8S1C8TN6DW1SV,2024-04-23T22:07:41.452687149Z,1,2024-04-23T22:29:41.760897647Z,rerun-unidirectional- 0.3,2024-04-23T22:10:21.155059028Z,true,2024-04-23T22:11:09.362057885Z,01HW6G1CEG536TBCEEJR5QBH1D,2024-04-23T22:26:46.754213611Z,{},2024-04-23T22:07:41.600235552Z,game ended,2024-04-23T22:27:46.982981902Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:10:21.155059028Z,611116ac01f43eeeb3cdeff3,2024-04-23T22:07:41.452687149Z,"[""🐿️"",""🐇"",""                                   "",""🐿️""]",2024-04-23T22:15:43.243711012Z,4,2024-04-23T22:11:07.731201847Z,player 2,2024-04-23T22:15:43.243711012Z
01HW6G1CEG536TBCEEJR5QBH1D,"{""age"":""24"",""gender"":""Female"",""strength"":""I think I did alright"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":""Left"",""geo"":""Canada"",""ethnicity"":""White""}",2024-04-23T22:28:53.352921992Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:10:21.155059028Z,01HW6G1C0M011MTTN33K6W3T1H,2024-04-23T22:08:20.432142889Z,1,2024-04-23T22:28:53.357553747Z,rerun-unidirectional- 0.3,2024-04-23T22:10:21.155059028Z,true,2024-04-23T22:11:07.242482662Z,01HW6G67T367Y8ZMSMSMDAZ6G8,2024-04-23T22:26:46.754213611Z,{},2024-04-23T22:08:20.660715071Z,game ended,2024-04-23T22:27:46.982981902Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:10:21.155059028Z,60bb283d84bea4bf7dd67bbf,2024-04-23T22:08:20.432142889Z,"[""🐿️"",""🐿️"",""                                   ""]",2024-04-23T22:15:43.243711012Z,4,2024-04-23T22:10:56.02276554Z,player 3,2024-04-23T22:15:43.243711012Z
01HW6G5W5QPN1JV591FFM4CF6P,,,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:53:58.6514895Z,01HW6G5VVK2F5M459GECT6ND7X,2024-04-23T22:10:47.607883749Z,,,rerun-unidirectional- 0.3,2024-04-23T22:53:58.6514895Z,,,,,{},2024-04-23T22:10:47.779453814Z,game terminated,2024-04-23T22:54:17.277186618Z,01HW6JMNRC3XNSY5NXS1P1NYQ3,2024-04-23T22:53:58.6514895Z,658223efaa31dfcfcbba9d16,2024-04-23T22:10:47.607883749Z,,,3,2024-04-23T22:14:12.987886425Z,,
01HW6G67T367Y8ZMSMSMDAZ6G8,"{""age"":""24"",""gender"":""female"",""strength"":""I was informative and consistent"",""fair"":""Yes"",""feedback"":""-"",""education"":""master"",""teammates"":""I think one person lied and several didn't say anything so no"",""notes"":""No"",""politics"":""centre left"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-23T22:29:07.696788386Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:10:59.531672346Z,01HW6G674ZH1KDTXGDA2YTS4K7,2024-04-23T22:10:59.524026879Z,1,2024-04-23T22:29:07.703047968Z,rerun-unidirectional- 0.3,2024-04-23T22:10:59.531672346Z,true,2024-04-23T22:15:43.165849815Z,01HW6FWCQ310C8JZQ529TASY85,2024-04-23T22:26:46.754213611Z,{},2024-04-23T22:10:59.878859705Z,game ended,2024-04-23T22:27:46.982981902Z,01HW6F58JXCE35DEEXPMBH2A51,2024-04-23T22:10:59.531672346Z,614dbfd84002a61c075c791c,2024-04-23T22:10:59.524026879Z,"[""                                   "",""🐿️"",""🐿️""]",2024-04-23T22:15:43.243711012Z,4,2024-04-23T22:15:36.434969424Z,player 4,2024-04-23T22:15:43.243711012Z
01HW6GAX3FW3WQ2Y4KE421267T,"{""age"":""26"",""gender"":""male"",""strength"":""able to judge and measure animals in the area."",""fair"":""yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""yes very good player quick to respond"",""notes"":""Took mental notes, "",""politics"":""democrat"",""geo"":""Black"",""ethnicity"":""African""}",2024-04-23T22:31:01.008933717Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:15:43.184836034Z,01HW6GAWRJGHN1RRN5JH3S4K4T,2024-04-23T22:13:32.399282341Z,1,2024-04-23T22:31:01.002385844Z,rerun-unidirectional- 0.3,2024-04-23T22:15:43.184836034Z,true,2024-04-23T22:17:08.649197641Z,01HW6GCC8RP9KYF71H3PA74FFG,2024-04-23T22:28:06.486803093Z,{},2024-04-23T22:13:32.581530553Z,game ended,2024-04-23T22:29:02.76797288Z,01HW6F57QX1Q5QB86K021EYNEW,2024-04-23T22:15:43.184836034Z,644016409cd050fac990df20,2024-04-23T22:13:32.399282341Z,"[""🐿️"",""🐇"",""🐿️"",""🐿️"",""                                   ""]",2024-04-23T22:17:47.186624783Z,4,2024-04-23T22:16:50.822655953Z,player 1,2024-04-23T22:17:47.186624783Z
01HW6GCC8RP9KYF71H3PA74FFG,"{""age"":""27"",""gender"":""female"",""strength"":""not great"",""fair"":""ye"",""feedback"":"""",""education"":""high-school"",""teammates"":""i dont see why they would lie about what they saw"",""notes"":""no"",""politics"":""center"",""geo"":""UK"",""ethnicity"":""british""}",2024-04-23T22:29:50.909124351Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:14:20.70783503Z,01HW6GCBMSK738RVVDF3J8MD14,2024-04-23T22:14:20.69624213Z,1,2024-04-23T22:29:50.901428201Z,rerun-unidirectional- 0.3,2024-04-23T22:14:20.70783503Z,true,2024-04-23T22:16:15.482687381Z,01HW6GCMYWZWN0S54T3ZJ81G38,2024-04-23T22:28:06.486803093Z,{},2024-04-23T22:14:21.053363926Z,game ended,2024-04-23T22:29:02.76797288Z,01HW6F57QX1Q5QB86K021EYNEW,2024-04-23T22:14:20.70783503Z,60fb3c9309e1565e8d308178,2024-04-23T22:14:20.69624213Z,"[""                                   "",""🐿️"",""🐿️"",""🐇""]",2024-04-23T22:17:47.186624783Z,4,2024-04-23T22:16:13.03573629Z,player 2,2024-04-23T22:17:47.186624783Z
01HW6GCF6TEKBE76X71EPC7VE5,"{""age"":""64"",""gender"":""female"",""strength"":""ok but a bit confused"",""fair"":""yes"",""feedback"":""wasn't 1005 sure I was doing what was asked."",""education"":""bachelor"",""teammates"":""they were exaggerating."",""notes"":""no"",""politics"":""left"",""geo"":""UK"",""ethnicity"":""white""}",2024-04-23T22:32:13.984550238Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:17:47.055644944Z,01HW6GCEHWQENT8SNWDQ9GAG73,2024-04-23T22:14:23.706590526Z,1,2024-04-23T22:32:13.975788187Z,rerun-unidirectional- 0.3,2024-04-23T22:17:47.055644944Z,true,2024-04-23T22:18:14.000337695Z,01HW6GCR41KKYZAY10MWKNVZ4Y,2024-04-23T22:29:55.536785672Z,{},2024-04-23T22:14:24.043724715Z,game ended,2024-04-23T22:30:39.143622841Z,01HW6F5737X6YYG1P3EPD6QDQY,2024-04-23T22:17:47.055644944Z,605a83eb7e4843786107321e,2024-04-23T22:14:23.706590526Z,"[""                                   "",""🐿️"",""🐇""]",2024-04-23T22:20:17.807903035Z,4,2024-04-23T22:18:07.691233532Z,player 1,2024-04-23T22:20:17.807903035Z
01HW6GCJ0W37PDE7TFQ79QXHGE,,,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:53:58.6514895Z,01HW6GCHQN92D4KVCMAYECRDW3,2024-04-23T22:14:26.588333116Z,,,rerun-unidirectional- 0.3,2024-04-23T22:53:58.6514895Z,,,,,{},2024-04-23T22:14:26.736401974Z,game terminated,2024-04-23T22:54:17.277186618Z,01HW6JMNRC3XNSY5NXS1P1NYQ3,2024-04-23T22:53:58.6514895Z,5cf7738aee94190018d73574,2024-04-23T22:14:26.588333116Z,,,1,2024-04-23T22:14:32.588469363Z,,
01HW6GCMYWZWN0S54T3ZJ81G38,"{""age"":""69"",""gender"":""male"",""strength"":""I dont know"",""fair"":""yes"",""feedback"":""none"",""education"":""high-school"",""teammates"":""I dont know"",""notes"":""I did not write anything down"",""politics"":""conservative"",""geo"":""United Kingdom"",""ethnicity"":""white""}",2024-04-23T22:31:01.944074733Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:14:29.606052986Z,01HW6GCMBZGEEZA9XTSTRVHPYQ,2024-04-23T22:14:29.596815441Z,1,2024-04-23T22:31:01.932798382Z,rerun-unidirectional- 0.3,2024-04-23T22:14:29.606052986Z,true,2024-04-23T22:17:19.213818917Z,01HW6GEYR6T51V3HDT40SYB7N9,2024-04-23T22:28:06.486803093Z,{},2024-04-23T22:14:29.90461629Z,game ended,2024-04-23T22:29:02.76797288Z,01HW6F57QX1Q5QB86K021EYNEW,2024-04-23T22:14:29.606052986Z,5ea1e407df1e160c7db497c7,2024-04-23T22:14:29.596815441Z,"[""                                   "",""🐿️"",""🐿️"",""🐿️""]",2024-04-23T22:17:47.186624783Z,4,2024-04-23T22:17:13.48041217Z,player 3,2024-04-23T22:17:47.186624783Z
01HW6GCR41KKYZAY10MWKNVZ4Y,"{""age"":""42"",""gender"":""female"",""strength"":""medium"",""fair"":""yes"",""feedback"":""none"",""education"":""other"",""teammates"":""unsure"",""notes"":""no"",""politics"":""centre"",""geo"":""british"",""ethnicity"":""mixed race""}",2024-04-23T22:31:36.142532346Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:17:47.055644944Z,01HW6GCQGRRF438Q8K28EE8TC0,2024-04-23T22:14:32.833044929Z,1,2024-04-23T22:31:36.148613062Z,rerun-unidirectional- 0.3,2024-04-23T22:17:47.055644944Z,true,2024-04-23T22:20:17.722831039Z,01HW6GEN0FSZD8Y983P9WDVYYH,2024-04-23T22:29:55.536785672Z,{},2024-04-23T22:14:33.151752044Z,game ended,2024-04-23T22:30:39.143622841Z,01HW6F5737X6YYG1P3EPD6QDQY,2024-04-23T22:17:47.055644944Z,5ae496e7c71ae20001318cb2,2024-04-23T22:14:32.833044929Z,"[""🐿️"",""                                   "",""🐿️"",""🐇"",""🐿️""]",2024-04-23T22:20:17.807903035Z,4,2024-04-23T22:20:05.226814841Z,player 2,2024-04-23T22:20:17.807903035Z
01HW6GEN0FSZD8Y983P9WDVYYH,"{""age"":""41"",""gender"":""F"",""strength"":""not sure"",""fair"":""Yes"",""feedback"":""everything was good"",""education"":""bachelor"",""teammates"":""Most were good co-players, no way to know the truth. And the \""Same here\"" answer was not thought ahead. "",""notes"":""I took mental notes "",""politics"":"""",""geo"":""Canada"",""ethnicity"":""White""}",2024-04-23T22:31:51.354363015Z,"{""condition"":""unidirectional"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}",2024-04-23T22:17:47.055644944Z,01HW6GEMP869TAWPSDC6A8MNDV,2024-04-23T22:15:35.183074802Z,1,2024-04-23T22:31:51.365454179Z,rerun-unidirectional- 0.3,2024-04-23T22:17:47.055644944Z,true,2024-04-23T22:18:10.502889533Z,01HW6GHMAP2D3ESRRMXJAMN08K,2024-04-23T22:29:55.536785672Z,{},2024-04-23T22:15:35.349913762Z,game ended,2024-04-23T22:30:39.143622841Z,01HW6F5737X6YYG1P3EPD6QDQY,2024-04-23T22:17:47.055644944Z,659f29b7149fd4e4b0ccec81,2024-04-23T22:15:35.183074802Z,"[""                                   "",""🐿️"",""🐿️"",""🐿️"",""🐿️"",""🐿️""]",2024-04-23T22:20:17.807903035Z,4,2024-04-23T22:17:58.072561023Z,player 3,2024-04-23T22:20:17.807903035Z
