id,gameID,gameIDLastChangedAt,ended,endedLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,recipient,recipientLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,urlParams,urlParamsLastChangedAt,treatmentName,treatmentNameLastChangedAt,emojiArray,emojiArrayLastChangedAt,participantID,participantIDLastChangedAt,treatment,treatmentLastChangedAt,exitStep,exitStepLastChangedAt,exitSurvey,exitSurveyLastChangedAt
01HW66R7XQ2J7FBKA7HNWDTAWK,01HW65RNQ8NAEZTESS2X144C48,2024-04-23T19:26:30.582523971Z,game ended,2024-04-23T19:32:47.973944229Z,3,2024-04-23T19:29:00.627740246Z,true,2024-04-23T19:29:08.598152802Z,player 4,2024-04-23T19:29:08.670764702Z,01HW66MYWNA3YYR374RDDD12QN,2024-04-23T19:32:39.098048766Z,5e9da14442f41809eb155db4,2024-04-23T19:26:03.703551643Z,{},2024-04-23T19:26:04.036149736Z,rerun-slider- 0.7,2024-04-23T19:26:30.582523971Z,"[""🐇"",""🐇"",""                                   "",""🐇"",""🐇"",""🐇"",""🐿️"",""🐿️"",""🐇"",""🐇""]",2024-04-23T19:29:08.670764702Z,01HW66R78MJACPV9MZEBBMNMJJ,2024-04-23T19:26:03.703551643Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:26:30.582523971Z,1,2024-04-23T19:33:13.25279156Z,"{""age"":""42"",""gender"":""F"",""strength"":""Good"",""fair"":""Yes"",""feedback"":""None"",""education"":""high-school"",""teammates"":""Yes"",""notes"":""Yes"",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-23T19:33:13.246793783Z
01HW66T73N0NY4C2D8V6KWXHZT,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:27:08.413824807Z,game ended,2024-04-23T19:36:02.357328268Z,3,2024-04-23T19:28:58.924978623Z,true,2024-04-23T19:29:10.713039406Z,player 3,2024-04-23T19:30:29.429774797Z,01HW66VCEV74NJ46CVZE7HV3FP,2024-04-23T19:35:32.179939245Z,6583ac197f380ceee04477e2,2024-04-23T19:27:08.405993276Z,{},2024-04-23T19:27:08.573077222Z,rerun-slider- 0.7,2024-04-23T19:27:08.413824807Z,"[""🐿️"",""🐿️"",""🐇"",""🐿️"",""🐿️"",""                                   ""]",2024-04-23T19:30:29.429774797Z,01HW66T6SHD8FTPVTYPA7NA58J,2024-04-23T19:27:08.405993276Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:27:08.413824807Z,1,2024-04-23T19:36:49.250229824Z,"{""age"":""24"",""gender"":"""",""strength"":""Maybe observing and some calculation"",""fair"":""Yes."",""feedback"":"""",""education"":""bachelor"",""teammates"":""I am not sure. Some sent duplicate messages."",""notes"":""Yes"",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-23T19:36:49.247004439Z
01HW66VCEV74NJ46CVZE7HV3FP,01HW65RN1TN2DR2QY83A7GX8YK,2024-04-23T19:27:46.662279061Z,game ended,2024-04-23T19:36:02.357328268Z,3,2024-04-23T19:29:24.350764691Z,true,2024-04-23T19:29:36.748573586Z,player 4,2024-04-23T19:30:29.429774797Z,01HW66N3D9DED1MZMJR6M5TYEX,2024-04-23T19:35:32.179939245Z,5d30c0f46cc6bd0020882925,2024-04-23T19:27:46.651176522Z,{},2024-04-23T19:27:46.843818679Z,rerun-slider- 0.7,2024-04-23T19:27:46.662279061Z,"[""🐇"",""🐇"",""🐿️"",""🐇"",""                                   "",""🐇"",""🐿️""]",2024-04-23T19:30:29.429774797Z,01HW66VC2TA2M5HKQEHV7E5HCJ,2024-04-23T19:27:46.651176522Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:27:46.662279061Z,1,2024-04-23T19:37:11.757734266Z,"{""age"":""28"",""gender"":""female"",""strength"":""listening to others info"",""fair"":""yes"",""feedback"":""none"",""education"":""bachelor"",""teammates"":""they did the best with what they could see from their window"",""notes"":""yes"",""politics"":""none"",""geo"":""American"",""ethnicity"":""African""}",2024-04-23T19:37:11.75526885Z
01HW66VE6F3V35EG0KES8MGA0H,01HW674E13CYAGKDSC8RRRSBAT,2024-04-23T19:37:10.369497071Z,game terminated,2024-04-23T19:38:01.061672315Z,3,2024-04-23T19:31:40.682940331Z,,,,,,,657deb2968c10e5855c10d8a,2024-04-23T19:27:48.431159837Z,{},2024-04-23T19:27:48.754846355Z,rerun-slider- 0.7,2024-04-23T19:37:10.369497071Z,,,01HW66VDJJBSJY7JNSSN03V3CC,2024-04-23T19:27:48.431159837Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:37:10.369497071Z,1,2024-04-23T19:32:42.091232236Z,"{""age"":""50"",""gender"":""Female"",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":""high-school"",""teammates"":"""",""notes"":"""",""politics"":""Moderate"",""geo"":""British"",""ethnicity"":""White British""}",2024-04-23T19:32:42.083405306Z
01HW66WBKYB3CEGACPR96A3WS2,01HW66X1X0WRHZ2Q4JVN1M93SC,2024-04-23T19:30:29.378606814Z,game ended,2024-04-23T19:37:11.878540121Z,3,2024-04-23T19:30:28.929976831Z,true,2024-04-23T19:30:43.359745178Z,player 1,2024-04-23T19:31:47.187497172Z,01HW66WZWQ5QNPBSWV4P3DQBRZ,2024-04-23T19:36:41.733905582Z,63ceddd2e08a688b3460a248,2024-04-23T19:28:18.558593711Z,{},2024-04-23T19:28:18.905422162Z,rerun-slider- 0.7,2024-04-23T19:30:29.378606814Z,"[""🐇"",""                                   "",""🐿️""]",2024-04-23T19:31:47.187497172Z,01HW66WAZ5VD3XRDBJARW5NMYK,2024-04-23T19:28:18.558593711Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:30:29.378606814Z,,,,
01HW66WZWQ5QNPBSWV4P3DQBRZ,01HW66X1X0WRHZ2Q4JVN1M93SC,2024-04-23T19:30:29.378606814Z,game ended,2024-04-23T19:37:11.878540121Z,3,2024-04-23T19:31:03.805397329Z,true,2024-04-23T19:31:31.62968238Z,player 2,2024-04-23T19:31:47.187497172Z,01HW66X4B453TBVC6VJCADYSXB,2024-04-23T19:36:41.733905582Z,650215217993641ac7ab92a8,2024-04-23T19:28:39.319742234Z,{},2024-04-23T19:28:39.551478124Z,rerun-slider- 0.7,2024-04-23T19:30:29.378606814Z,"[""                                   "",""🐇"",""🐿️"",""🐇"",""🐇"",""🐇""]",2024-04-23T19:31:47.187497172Z,01HW66WZEKGA1BB51B2HGP4AR2,2024-04-23T19:28:39.319742234Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:30:29.378606814Z,1,2024-04-23T19:40:20.065049511Z,"{""age"":""58"",""gender"":""female"",""strength"":""not that good"",""fair"":""yes"",""feedback"":""a bit confusing and sometimes ran out of time"",""education"":""bachelor"",""teammates"":""no"",""notes"":""no"",""politics"":""center"",""geo"":""Canada"",""ethnicity"":""white""}",2024-04-23T19:40:20.053856744Z
01HW66X0RX0W6B8Q6MP1RE7Q3Y,01HW674E13CYAGKDSC8RRRSBAT,2024-04-23T19:37:10.369497071Z,game terminated,2024-04-23T19:38:01.061672315Z,3,2024-04-23T19:31:44.489880598Z,,,,,,,6596d4ae4164cb823ebac1d6,2024-04-23T19:28:40.221188141Z,{},2024-04-23T19:28:40.450569544Z,rerun-slider- 0.7,2024-04-23T19:37:10.369497071Z,,,01HW66X0B5WFP4TVV3A7K17NFP,2024-04-23T19:28:40.221188141Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:37:10.369497071Z,1,2024-04-23T19:32:13.964046779Z,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":"""",""teammates"":"""",""notes"":"""",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-23T19:32:13.962788621Z
01HW66X4B453TBVC6VJCADYSXB,01HW66X1X0WRHZ2Q4JVN1M93SC,2024-04-23T19:30:29.378606814Z,game ended,2024-04-23T19:37:11.878540121Z,3,2024-04-23T19:30:27.233224671Z,true,2024-04-23T19:30:34.344684501Z,player 3,2024-04-23T19:31:47.187497172Z,01HW66ZNA86FE8GZ6RRDEJY5KS,2024-04-23T19:36:41.733905582Z,5e14de687d9adf000b603402,2024-04-23T19:28:43.876427008Z,{},2024-04-23T19:28:44.276776788Z,rerun-slider- 0.7,2024-04-23T19:30:29.378606814Z,"[""🐇"",""🐇"",""                                   "",""🐇"",""🐇""]",2024-04-23T19:31:47.187497172Z,01HW66X09JWQ8RJZJY8WP14G69,2024-04-23T19:28:43.876427008Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:30:29.378606814Z,1,2024-04-23T19:39:04.967408109Z,"{""age"":"""",""gender"":"""",""strength"":"""",""fair"":"""",""feedback"":"""",""education"":"""",""teammates"":"""",""notes"":"""",""politics"":"""",""geo"":"""",""ethnicity"":""""}",2024-04-23T19:39:04.96375923Z
01HW66ZNA86FE8GZ6RRDEJY5KS,01HW66X1X0WRHZ2Q4JVN1M93SC,2024-04-23T19:30:29.378606814Z,game ended,2024-04-23T19:37:11.878540121Z,3,2024-04-23T19:31:42.530062682Z,true,2024-04-23T19:31:47.117304107Z,player 4,2024-04-23T19:31:47.187497172Z,01HW66WBKYB3CEGACPR96A3WS2,2024-04-23T19:36:41.733905582Z,615b22b2b654b57bcb5ad7b3,2024-04-23T19:30:06.792506057Z,{},2024-04-23T19:30:06.960180444Z,rerun-slider- 0.7,2024-04-23T19:30:29.378606814Z,"[""🐇"",""🐿️"",""🐿️"",""🐇"",""🐿️"",""🐇"",""                                   "",""🐇"",""🐇"",""🐿️""]",2024-04-23T19:31:47.187497172Z,01HW66ZN00PEJP5S3GWVSTBN52,2024-04-23T19:30:06.792506057Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:30:29.378606814Z,1,2024-04-23T19:37:51.319384159Z,"{""age"":""23"",""gender"":""Female"",""strength"":""Felt more like a guessing than skill needed."",""fair"":""Yes"",""feedback"":"""",""education"":""bachelor"",""teammates"":""Unclear"",""notes"":""Mental note"",""politics"":""Liberal"",""geo"":"""",""ethnicity"":""White""}",2024-04-23T19:37:51.314767167Z
01HW672P6SM5G0RNHAZ49NK6T6,01HW674E13CYAGKDSC8RRRSBAT,2024-04-23T19:37:10.369497071Z,game terminated,2024-04-23T19:38:01.061672315Z,,,,,,,,,5e1297656e8aab8e8a1b3b76,2024-04-23T19:31:46.009942492Z,{},2024-04-23T19:31:46.331530629Z,rerun-slider- 0.7,2024-04-23T19:37:10.369497071Z,,,01HW672NHN1GDXDM95S5JH6EM8,2024-04-23T19:31:46.009942492Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:37:10.369497071Z,,,,
01HW673KSH52X2HGJMPPNX6CXR,01HW66Y45WZ348W6Z0Q32845SX,2024-04-23T19:32:16.315331769Z,game ended,2024-04-23T19:42:04.154043475Z,3,2024-04-23T19:36:51.742283039Z,true,2024-04-23T19:37:05.698071812Z,player 1,2024-04-23T19:37:05.855482197Z,01HW6742NGSB6CB4AYA1GCRN5X,2024-04-23T19:41:50.195906184Z,5b46203aef90180001099394,2024-04-23T19:32:16.305775784Z,{},2024-04-23T19:32:16.641311384Z,rerun-slider- 0.7,2024-04-23T19:32:16.315331769Z,"[""                                   "",""🐇"",""🐿️"",""🐇"",""🐇""]",2024-04-23T19:37:05.855482197Z,01HW673K6TNHE245M0848CEJMR,2024-04-23T19:32:16.305775784Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:32:16.315331769Z,1,2024-04-23T19:43:11.3577213Z,"{""age"":""49"",""gender"":""Female"",""strength"":""No idea"",""fair"":""Yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""Yes"",""notes"":""No"",""politics"":""Liberal"",""geo"":""British"",""ethnicity"":""Turkish""}",2024-04-23T19:43:11.360464918Z
01HW6742NGSB6CB4AYA1GCRN5X,01HW66Y45WZ348W6Z0Q32845SX,2024-04-23T19:32:31.542544008Z,game ended,2024-04-23T19:42:04.154043475Z,3,2024-04-23T19:33:27.725654069Z,true,2024-04-23T19:33:35.782439888Z,player 2,2024-04-23T19:37:05.855482197Z,01HW67499VA0AZVRTWFQPT4NKE,2024-04-23T19:41:50.195906184Z,5906150044ed040001625ac4,2024-04-23T19:32:31.536474694Z,{},2024-04-23T19:32:31.850730845Z,rerun-slider- 0.7,2024-04-23T19:32:31.542544008Z,"[""🐿️"",""🐇"",""                                   "",""🐿️""]",2024-04-23T19:37:05.855482197Z,01HW67422GMWTQGFXX8KE1XK7E,2024-04-23T19:32:31.536474694Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:32:31.542544008Z,,,,
01HW67499VA0AZVRTWFQPT4NKE,01HW66Y45WZ348W6Z0Q32845SX,2024-04-23T19:32:38.339050744Z,game ended,2024-04-23T19:42:04.154043475Z,3,2024-04-23T19:35:09.344473548Z,true,2024-04-23T19:35:11.527763532Z,player 3,2024-04-23T19:37:05.855482197Z,01HW67609BX6YX25Z28K1CCZ4N,2024-04-23T19:41:50.195906184Z,613f0ce7ced87b6731521401,2024-04-23T19:32:38.331111164Z,{},2024-04-23T19:32:38.658998041Z,rerun-slider- 0.7,2024-04-23T19:32:38.339050744Z,"[""🐇"",""🐇"",""🐿️"",""                                   "",""🐇"",""🐇"",""🐿️"",""🐇"",""🐇""]",2024-04-23T19:37:05.855482197Z,01HW6748PEJP95JM6ZHDPZGE32,2024-04-23T19:32:38.331111164Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:32:38.339050744Z,1,2024-04-23T19:42:43.575561808Z,"{""age"":""44"",""gender"":""Female"",""strength"":""Decent"",""fair"":""Yes"",""feedback"":""None"",""education"":""bachelor"",""teammates"":""They told the truth"",""notes"":""No"",""politics"":""Left"",""geo"":""UK/London"",""ethnicity"":""Mixed""}",2024-04-23T19:42:43.570982938Z
01HW674X5DATHHEQ837S5NGFJH,01HW674E13CYAGKDSC8RRRSBAT,2024-04-23T19:37:10.369497071Z,game terminated,2024-04-23T19:38:01.061672315Z,2,2024-04-23T19:36:29.3173776Z,,,,,,,60b0eccc48bd907293da9bab,2024-04-23T19:32:58.669313866Z,{},2024-04-23T19:32:58.97892364Z,rerun-slider- 0.7,2024-04-23T19:37:10.369497071Z,,,01HW674WHPHJACWSDGZ4G9PE5S,2024-04-23T19:32:58.669313866Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:37:10.369497071Z,,,,
01HW67609BX6YX25Z28K1CCZ4N,01HW66Y45WZ348W6Z0Q32845SX,2024-04-23T19:33:34.646938463Z,game ended,2024-04-23T19:42:04.154043475Z,3,2024-04-23T19:36:55.073412371Z,true,2024-04-23T19:37:04.585621891Z,player 4,2024-04-23T19:37:05.855482197Z,01HW673KSH52X2HGJMPPNX6CXR,2024-04-23T19:41:50.195906184Z,6020329e88ba9160b200b96b,2024-04-23T19:33:34.635147593Z,{},2024-04-23T19:33:34.96744997Z,rerun-slider- 0.7,2024-04-23T19:33:34.646938463Z,"[""                                   "",""🐇"",""🐇"",""🐇"",""🐿️"",""🐇""]",2024-04-23T19:37:05.855482197Z,01HW675ZK4BRTN0ZTG94E4C1GD,2024-04-23T19:33:34.635147593Z,"{""condition"":""slider"",""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}",2024-04-23T19:33:34.646938463Z,1,2024-04-23T19:42:55.156164076Z,"{""age"":""33"",""gender"":""Female"",""strength"":""didn't feel i had one"",""fair"":""yes"",""feedback"":"""",""education"":""high-school"",""teammates"":""yes"",""notes"":""yes"",""politics"":""n/a"",""geo"":""UK"",""ethnicity"":""British""}",2024-04-23T19:42:55.148114678Z
