id,lobbyConfig,lobbyConfigLastChangedAt,initialized,initializedLastChangedAt,endedReason,endedReasonLastChangedAt,config,configLastChangedAt,status,statusLastChangedAt
01HMFDQSQ4KQ9BQTYZTM6QDHSE,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:44.484556571Z,true,2024-01-18T23:15:44.493488612Z,all games finished,2024-01-18T23:33:56.830231039Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:15:44.484556571Z,ended,2024-01-18T23:33:56.830231039Z
01HMFDQTMQ1TVM1KJT4GQS9GXK,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:45.431560054Z,true,2024-01-18T23:15:45.438539653Z,all games finished,2024-01-18T23:42:19.405103633Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:15:45.431560054Z,ended,2024-01-18T23:42:19.405103633Z
01HMFDQVJEZQ6VYHYQJ8JT0H8Q,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:46.382227738Z,true,2024-01-18T23:15:46.390322992Z,all games finished,2024-01-18T23:49:33.45144796Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:15:46.382227738Z,ended,2024-01-18T23:49:33.45144796Z
01HMFDQWKQY4717X3C3YNF2X27,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:47.448029887Z,true,2024-01-18T23:15:47.457007134Z,all games finished,2024-01-18T23:43:24.292684107Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:15:47.448029887Z,ended,2024-01-18T23:43:24.292684107Z
01HMFDQXHE6A8AKDY8CT10AE23,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:48.398950958Z,true,2024-01-18T23:15:48.406243879Z,all games finished,2024-01-18T23:50:16.973968318Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:15:48.398950958Z,ended,2024-01-18T23:50:16.973968318Z
01HMFDQYMZHQ0WPEVKND58J3HX,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:15:49.535707483Z,true,2024-01-18T23:15:49.543620188Z,all games finished,2024-01-18T23:43:39.971197156Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:15:49.535707483Z,ended,2024-01-18T23:43:39.971197156Z
01HMFDVB6AF1NT5VQDVQ3TX3ZP,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:17:40.682568214Z,true,2024-01-18T23:17:40.690670225Z,all games finished,2024-01-18T23:52:16.054372137Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:17:40.682568214Z,ended,2024-01-18T23:52:16.054372137Z
01HMFDVEERMP43H77P5S06K23X,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:17:44.024839194Z,true,2024-01-18T23:17:44.035210857Z,all games finished,2024-01-18T23:43:59.860461264Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:17:44.024839194Z,ended,2024-01-18T23:43:59.860461264Z
01HMFDVG4NAP6JDB33VX9AEX8C,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:17:45.750016342Z,true,2024-01-18T23:17:45.762028241Z,all games finished,2024-01-18T23:52:51.894738078Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:17:45.750016342Z,ended,2024-01-18T23:52:51.894738078Z
01HMFDVJ3MJN1ZHWTX2ZGTBW4K,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:17:47.764898083Z,true,2024-01-18T23:17:47.772743816Z,all games finished,2024-01-18T23:44:29.709392192Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:17:47.764898083Z,ended,2024-01-18T23:44:29.709392192Z
01HMFDVKN3YBB8B6QFD6BAP7GH,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:17:49.347440443Z,true,2024-01-18T23:17:49.354627773Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:17:49.347440443Z,terminated,2024-01-18T23:41:29.061283608Z
01HMFDVMT4C07DWNY1TDAGM3BD,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:17:50.532797975Z,true,2024-01-18T23:17:50.539811139Z,all games finished,2024-01-18T23:44:25.135024174Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:17:50.532797975Z,ended,2024-01-18T23:44:25.135024174Z
01HMFEGHPG22WHGMB8MQYB8N6S,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:29:15.472907429Z,true,2024-01-18T23:29:15.484747323Z,all games finished,2024-01-18T23:46:19.760610301Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:29:15.472907429Z,ended,2024-01-18T23:46:19.760610301Z
01HMFEGKCZTM3TVP165TB33RX6,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:29:17.215362712Z,true,2024-01-18T23:29:17.232118431Z,all games finished,2024-01-18T23:54:59.802892052Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:29:17.215362712Z,ended,2024-01-18T23:54:59.802892052Z
01HMFEGNWPZGAVHWC9P9MQP8PB,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:29:19.766899471Z,true,2024-01-18T23:29:19.791760334Z,all games finished,2024-01-18T23:49:06.146536016Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:29:19.766899471Z,ended,2024-01-18T23:49:06.146536016Z
01HMFEGQ3PSTJ2CSPAA0QP7YH5,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:29:21.014456796Z,true,2024-01-18T23:29:21.02764684Z,all games finished,2024-01-18T23:56:19.979122014Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:29:21.014456796Z,ended,2024-01-18T23:56:19.979122014Z
01HMFEGR41JYE76SBS8F6X937S,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:29:22.04993376Z,true,2024-01-18T23:29:22.061771981Z,all games finished,2024-01-19T00:01:56.152061478Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:29:22.04993376Z,ended,2024-01-19T00:01:56.152061478Z
01HMFEGSFSCVHRAJ92EZCKGY7H,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:29:23.449429449Z,true,2024-01-18T23:29:23.462038399Z,all games finished,2024-01-18T23:57:39.071258158Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:29:23.449429449Z,ended,2024-01-18T23:57:39.071258158Z
01HMFEZKA17EDA1KKGYY53EYHH,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:28.641337597Z,true,2024-01-18T23:37:28.685500179Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:37:28.641337597Z,terminated,2024-01-18T23:40:17.796227767Z
01HMFEZN3XJT8PH0F1ASR2TAVG,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:30.49365907Z,true,2024-01-18T23:37:30.533601437Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:37:30.49365907Z,terminated,2024-01-18T23:40:14.266849979Z
01HMFEZP12NJR4TJHFA3937SAQ,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:31.426649066Z,true,2024-01-18T23:37:31.449296679Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:37:31.426649066Z,terminated,2024-01-18T23:40:08.94794446Z
01HMFEZPTJC5GHNBP2MS1YVSJX,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:32.242341614Z,true,2024-01-18T23:37:32.281123213Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:37:32.242341614Z,terminated,2024-01-18T23:40:05.965969498Z
01HMFEZQK17YXNHG71KKJSY7R9,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:33.025971185Z,true,2024-01-18T23:37:33.062417853Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:37:33.025971185Z,terminated,2024-01-18T23:40:01.820852934Z
01HMFEZR9YZ4KH4AAF8HFFDP04,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:33.758571634Z,true,2024-01-18T23:37:33.798935214Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:37:33.758571634Z,terminated,2024-01-18T23:39:58.147074729Z
01HMFEZSGZGTBE58EE61BQSBJN,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:35.007462793Z,true,2024-01-18T23:37:35.061238223Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:37:35.007462793Z,terminated,2024-01-18T23:39:48.909393766Z
01HMFEZTBM2K2AF10DEWNBRGWV,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:37:35.861047454Z,true,2024-01-18T23:37:35.894379229Z,,,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1}]}}",2024-01-18T23:37:35.861047454Z,terminated,2024-01-18T23:39:54.312311752Z
01HMFF396C4QBTA09X2KFAKEBC,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:39:29.35638093Z,true,2024-01-18T23:39:29.424455221Z,all games finished,2024-01-19T00:01:53.434515476Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:39:29.35638093Z,ended,2024-01-19T00:01:53.434515476Z
01HMFFFAF00AJ8CCZFZY1Q6TSS,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:46:03.87238842Z,true,2024-01-18T23:46:03.940547279Z,all games finished,2024-01-19T00:04:50.430139832Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:46:03.87238842Z,ended,2024-01-19T00:04:50.430139832Z
01HMFFFM1W1R12E5J6NX5TX3AF,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:46:13.692727769Z,true,2024-01-18T23:46:13.734626834Z,all games finished,2024-01-19T00:06:59.946753735Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:46:13.692727769Z,ended,2024-01-19T00:06:59.946753735Z
01HMFFNKNMEG7MJ16J3E5ZVWRV,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:49:29.908097274Z,true,2024-01-18T23:49:29.95376775Z,all games finished,2024-01-19T00:11:25.559882185Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:49:29.908097274Z,ended,2024-01-19T00:11:25.559882185Z
01HMFFRHQDG2ZKQ2744VS7VNRD,"{""name"":""Default individual"",""kind"":""individual"",""duration"":300000000000}",2024-01-18T23:51:06.221129329Z,true,2024-01-18T23:51:06.267713638Z,all games finished,2024-01-19T00:12:20.164419331Z,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""experiment1-0.7"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.7}},""count"":1},{""treatment"":{""name"":""experiment1-0.3"",""factors"":{""opinion"":""slider"",""playerCount"":4,""trueP"":0.3}},""count"":1}]}}",2024-01-18T23:51:06.221129329Z,ended,2024-01-19T00:12:20.164419331Z
